,Unnamed: 0,back_color_b,back_color_g,back_color_r,distractor_color_b,distractor_color_g,distractor_color_r,image_file_name,item_radius,num_item,target_color_b,target_color_g,target_color_r,target_x,target_y,iou_conv1_poolsize8,iou_conv2_poolsize8,iou_conv3_poolsize8,iou_conv4_poolsize8,iou_conv5_poolsize8
0,0,0.0,0.0,0.0,255.0,255.0,255.0,0000.png,20.0,3.0,0.0,0.0,255.0,90.0,270.0,0.18316562473773956,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,255.0,255.0,255.0,0001.png,20.0,4.0,0.0,0.0,255.0,210.0,30.0,0.43879029154777527,0.43879029154777527,0.43879029154777527,0.0,0.0
2,2,0.0,0.0,0.0,255.0,255.0,255.0,0002.png,20.0,5.0,0.0,0.0,255.0,90.0,510.0,0.10202163457870483,0.10202163457870483,0.0,0.0,0.0
3,3,0.0,0.0,0.0,255.0,255.0,255.0,0003.png,20.0,6.0,0.0,0.0,255.0,210.0,30.0,0.37894609570503235,0.37894609570503235,0.37894609570503235,0.0,0.0
4,4,0.0,0.0,0.0,255.0,255.0,255.0,0004.png,20.0,7.0,0.0,0.0,255.0,210.0,270.0,0.2659335136413574,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,255.0,255.0,255.0,0005.png,20.0,8.0,0.0,0.0,255.0,570.0,30.0,0.11517278850078583,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,255.0,255.0,255.0,0006.png,20.0,3.0,0.0,255.0,0.0,210.0,450.0,0.37350785732269287,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,255.0,255.0,255.0,0007.png,20.0,4.0,0.0,255.0,0.0,510.0,510.0,0.0,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,255.0,255.0,255.0,0008.png,20.0,5.0,0.0,255.0,0.0,570.0,90.0,0.3165493905544281,0.3165493905544281,0.3165493905544281,0.0,0.0
9,9,0.0,0.0,0.0,255.0,255.0,255.0,0009.png,20.0,6.0,0.0,255.0,0.0,570.0,90.0,0.31653618812561035,0.31653618812561035,0.31653618812561035,0.0,0.0
